Player,Total,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Games,Per Game,Attempts,Per 100 Att,Sacked,Per Sack,Sack Per Att,Third Down %,qboc
A.Dalton,25,0,0,4,1,1,5,0,1,1,1,6,0,3,2,0,170,0.15,5557,0.45,361,0.069,0.065,40,0
A.Luck,17,0,0,0,5,3,4,1,1,0,3,0,0,0,0,0,94,0.18,3620,0.47,186,0.091,0.051,29.41,0
A.Rodgers,41,3,3,3,5,2,2,5,4,0,1,3,2,5,3,0,228,0.18,7840,0.52,542,0.076,0.069,39.02,0
A.Smith,23,1,1,1,1,1,6,4,1,5,2,0,0,0,0,0,149,0.15,4648,0.49,367,0.063,0.079,26.09,0
B.Bortles,12,0,0,0,0,0,1,2,1,7,1,0,0,0,0,0,79,0.15,2719,0.44,201,0.06,0.074,33.33,0
B.Gabbert,9,0,0,2,1,0,0,2,1,1,0,0,1,1,0,0,62,0.15,1534,0.59,139,0.065,0.091,11.11,0
B.Hoyer,6,1,1,0,0,0,1,1,0,1,0,1,0,0,0,0,60,0.1,1554,0.39,92,0.065,0.059,0,0
B.Mayfield,18,0,0,0,0,0,0,0,0,0,3,4,4,5,2,0,74,0.24,2330,0.77,171,0.105,0.073,33.33,0
B.Osweiler,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,44,0.05,1230,0.16,84,0.024,0.068,0,0
B.Roethlisberger,30,3,0,3,1,1,4,2,1,3,4,0,2,6,0,0,190,0.16,7035,0.43,395,0.076,0.056,20,0
C.Henne,9,1,2,2,1,2,0,0,0,0,0,0,0,0,1,0,70,0.13,2018,0.45,154,0.058,0.076,77.78,0
C.Kaepernick,6,0,0,0,3,1,1,0,1,0,0,0,0,0,0,0,71,0.08,1856,0.32,182,0.033,0.098,16.67,1
C.Keenum,12,0,0,0,0,0,0,1,1,4,3,3,0,0,0,0,74,0.16,2267,0.53,130,0.092,0.057,33.33,0
C.McCoy,7,0,1,5,0,0,0,0,0,0,0,0,0,0,1,0,45,0.16,1220,0.57,114,0.061,0.093,14.29,0
C.Newton,35,0,0,8,6,2,6,0,2,3,3,0,5,0,0,0,153,0.23,4699,0.74,356,0.098,0.076,25.71,1
C.Palmer,26,2,4,3,5,3,3,2,2,2,0,0,0,0,0,0,120,0.22,4239,0.61,240,0.108,0.057,30.77,0
C.Wentz,30,0,0,0,0,0,0,0,4,1,6,7,5,5,2,0,94,0.32,3289,0.91,240,0.125,0.073,36.67,0
D.Brees,32,3,4,0,1,3,1,7,6,3,1,0,3,0,0,0,195,0.16,7490,0.43,309,0.104,0.041,40.63,0
D.Carr,21,0,0,0,0,0,2,4,1,1,2,2,2,5,1,1,144,0.15,5013,0.42,267,0.079,0.053,52.38,0
